Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Immunoglobulin production involved in immunoglobulin mediated immune response (GO:0002381),GO:0002381,Immunoglobulin production involved in immunoglobulin mediated immune response,-0.7750401,0.9001255,0.9734022,0.245901639,0.973249223
Renal system development (GO:0072001),GO:0072001,Renal system development,0.8395918,0.9002817,0.9734057,0.18245614,0.973252706
N-acetylneuraminate metabolic process (GO:0006054),GO:0006054,N-acetylneuraminate metabolic process,-0.6584965,0.9004386,0.9734099,0.363636364,0.973256944
Salivary gland morphogenesis (GO:0007435),GO:0007435,Salivary gland morphogenesis,-0.7404789,0.9008088,0.9736447,0.257142857,0.973491691
Developmental growth involved in morphogenesis (GO:0060560),GO:0060560,Developmental growth involved in morphogenesis,-0.8602904,0.9011206,0.9738163,0.216450216,0.973663257
Atp-dependent chromatin remodeling (GO:0043044),GO:0043044,Atp-dependent chromatin remodeling,-0.7934484,0.9015957,0.9738823,0.318181818,0.9737292
Regulation of telomere maintenance via telomerase (GO:0032210),GO:0032210,Regulation of telomere maintenance via telomerase,-0.7609711,0.9017483,0.9738823,0.25,0.9737292
Mitochondrial trna processing (GO:0090646),GO:0090646,Mitochondrial trna processing,-0.6586977,0.9017567,0.9738823,0.416666667,0.9737292
Intestinal epithelial cell differentiation (GO:0060575),GO:0060575,Intestinal epithelial cell differentiation,-0.704405,0.9018041,0.9738823,0.227272727,0.9737292
Pyrimidine ribonucleotide metabolic process (GO:0009218),GO:0009218,Pyrimidine ribonucleotide metabolic process,0.69833,0.9019469,0.9738823,0.391304348,0.9737292
Dna methylation involved in gamete generation (GO:0043046),GO:0043046,Dna methylation involved in gamete generation,0.6769926,0.9025788,0.9739642,0.111111111,0.97381114
Positive regulation of heterotypic cell-cell adhesion (GO:0034116),GO:0034116,Positive regulation of heterotypic cell-cell adhesion,-0.6769982,0.9027315,0.9739642,0.375,0.97381114
Nuclear rna surveillance (GO:0071027),GO:0071027,Nuclear rna surveillance,0.6597149,0.9028645,0.9739642,0.307692308,0.97381114
Nuclear mrna surveillance (GO:0071028),GO:0071028,Nuclear mrna surveillance,0.6597149,0.9028645,0.9739642,0.307692308,0.97381114
Histone lysine methylation (GO:0034968),GO:0034968,Histone lysine methylation,-0.8105132,0.9029099,0.9739642,0.330434783,0.97381114
Regulation of membrane repolarization (GO:0060306),GO:0060306,Regulation of membrane repolarization,0.7151757,0.9029412,0.9739642,0.181818182,0.97381114
Positive regulation of oxidative stress-induced cell death (GO:1903209),GO:1903209,Positive regulation of oxidative stress-induced cell death,-0.6723198,0.9040975,0.9748937,0.2,0.974740539
Face morphogenesis (GO:0060325),GO:0060325,Face morphogenesis,-0.7284569,0.9042029,0.9748937,0.419354839,0.974740539
Negative regulation of translational initiation (GO:0045947),GO:0045947,Negative regulation of translational initiation,-0.6933812,0.9042626,0.9748937,0.263157895,0.974740539
Snorna 3'-end processing (GO:0031126),GO:0031126,Snorna 3'-end processing,-0.6635731,0.9045215,0.9750077,0.692307692,0.974854444
Negative regulation of rna splicing (GO:0033119),GO:0033119,Negative regulation of rna splicing,-0.7139817,0.9049165,0.9752683,0.346153846,0.975114968
Regulation of tubulin deacetylation (GO:0090043),GO:0090043,Regulation of tubulin deacetylation,-0.6588543,0.9051047,0.9753059,0.4,0.9751526
Regulation of keratinocyte proliferation (GO:0010837),GO:0010837,Regulation of keratinocyte proliferation,-0.7309284,0.905495,0.9755613,0.121212121,0.975407922
Intra-golgi vesicle-mediated transport (GO:0006891),GO:0006891,Intra-golgi vesicle-mediated transport,0.7131283,0.9057093,0.975627,0.212121212,0.975473602
Regulation of mesenchymal cell apoptotic process (GO:2001053),GO:2001053,Regulation of mesenchymal cell apoptotic process,0.6461422,0.9059169,0.9756393,0.090909091,0.975485966
Regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),GO:1903050,Regulation of proteolysis involved in cellular protein catabolic process,0.826286,0.906155,0.9756393,0.225225225,0.975485966
Mitotic cytokinesis (GO:0000281),GO:0000281,Mitotic cytokinesis,-0.7831679,0.9063142,0.9756393,0.277777778,0.975485966
Magnesium ion transport (GO:0015693),GO:0015693,Magnesium ion transport,0.6682013,0.9063341,0.9756393,0.235294118,0.975485966
Positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),GO:1900026,Positive regulation of substrate adhesion-dependent cell spreading,-0.7417167,0.9065973,0.9757576,0.184210526,0.975604199
Modulation of process of other organism (GO:0035821),GO:0035821,Modulation of process of other organism,0.7860701,0.9068558,0.9758707,0.224299065,0.975717335
Cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528),GO:0039528,Cytoplasmic pattern recognition receptor signaling pathway in response to virus,0.7034094,0.9071914,0.9760667,0.161290323,0.975913373
Oogenesis (GO:0048477),GO:0048477,Oogenesis,0.7693445,0.9074996,0.9760984,0.16091954,0.975944995
Water homeostasis (GO:0030104),GO:0030104,Water homeostasis,0.7629371,0.9075276,0.9760984,0.207792208,0.975944995
Regulation of phospholipase a2 activity (GO:0032429),GO:0032429,Regulation of phospholipase a2 activity,0.6501803,0.9081803,0.9764402,0.333333333,0.976286788
Regulation of endothelial cell development (GO:1901550),GO:1901550,Regulation of endothelial cell development,0.6608508,0.9083058,0.9764402,0.571428571,0.976286788
Regulation of establishment of endothelial barrier (GO:1903140),GO:1903140,Regulation of establishment of endothelial barrier,0.6608508,0.9083058,0.9764402,0.571428571,0.976286788
Atrial septum development (GO:0003283),GO:0003283,Atrial septum development,0.692389,0.9086726,0.9765409,0.391304348,0.976387454
Negative regulation of protein tyrosine kinase activity (GO:0061099),GO:0061099,Negative regulation of protein tyrosine kinase activity,0.6969652,0.9087064,0.9765409,0.482758621,0.976387454
Pentose-phosphate shunt (GO:0006098),GO:0006098,Pentose-phosphate shunt,0.6587125,0.9090578,0.9767536,0.333333333,0.976600088
Intra-s dna damage checkpoint (GO:0031573),GO:0031573,Intra-s dna damage checkpoint,-0.6670984,0.9098379,0.9772439,0.375,0.977090348
Kidney epithelium development (GO:0072073),GO:0072073,Kidney epithelium development,0.7941668,0.9098811,0.9772439,0.182481752,0.977090348
Positive regulation of neural precursor cell proliferation (GO:2000179),GO:2000179,Positive regulation of neural precursor cell proliferation,0.7393448,0.9099749,0.9772439,0.240740741,0.977090348
Regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531),GO:0039531,Regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway,0.6844278,0.910546,0.977596,0.136363636,0.977442352
Positive regulation of small gtpase mediated signal transduction (GO:0051057),GO:0051057,Positive regulation of small gtpase mediated signal transduction,0.7604336,0.91061,0.977596,0.25974026,0.977442352
Cilium movement (GO:0003341),GO:0003341,Cilium movement,-0.8252822,0.9125184,0.9794099,0.275167785,0.979255908
Positive regulation of cellular response to oxidative stress (GO:1900409),GO:1900409,Positive regulation of cellular response to oxidative stress,0.6642727,0.9126074,0.9794099,0.277777778,0.979255908
Regulation of sodium ion transmembrane transporter activity (GO:2000649),GO:2000649,Regulation of sodium ion transmembrane transporter activity,0.7338915,0.9131601,0.9797402,0.240740741,0.979586269
Maintenance of apical/basal cell polarity (GO:0035090),GO:0035090,Maintenance of apical/basal cell polarity,-0.6451445,0.9133772,0.9797402,0.545454545,0.979586269
Maintenance of epithelial cell apical/basal polarity (GO:0045199),GO:0045199,Maintenance of epithelial cell apical/basal polarity,-0.6451445,0.9133772,0.9797402,0.545454545,0.979586269
Negative regulation of peptidyl-serine phosphorylation (GO:0033137),GO:0033137,Negative regulation of peptidyl-serine phosphorylation,0.6877475,0.9141352,0.9803409,0.392857143,0.980186888
Regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),GO:1900739,Regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,0.6844491,0.9144112,0.9803409,0.076923077,0.980186888
Positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),GO:1900740,Positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,0.6844491,0.9144112,0.9803409,0.076923077,0.980186888
Muscle cell fate commitment (GO:0042693),GO:0042693,Muscle cell fate commitment,0.6533249,0.9145535,0.9803409,0.285714286,0.980186888
Extracellular transport (GO:0006858),GO:0006858,Extracellular transport,-0.7193385,0.9147687,0.9804065,0.290322581,0.980252395
Regulation of dna repair (GO:0006282),GO:0006282,Regulation of dna repair,0.7913659,0.9152361,0.9805232,0.184615385,0.980369151
Regulation of supramolecular fiber organization (GO:1902903),GO:1902903,Regulation of supramolecular fiber organization,0.844959,0.9154202,0.9805232,0.214084507,0.980369151
Mitochondrial calcium ion transmembrane transport (GO:0006851),GO:0006851,Mitochondrial calcium ion transmembrane transport,0.6808655,0.9157709,0.9805232,0.28,0.980369151
Regulation of vacuole organization (GO:0044088),GO:0044088,Regulation of vacuole organization,0.7217197,0.9158642,0.9805232,0.29787234,0.980369151
Signal peptide processing (GO:0006465),GO:0006465,Signal peptide processing,0.6337199,0.9160235,0.9805232,0.181818182,0.980369151
Negative regulation of cell growth involved in cardiac muscle cell development (GO:0061052),GO:0061052,Negative regulation of cell growth involved in cardiac muscle cell development,0.6325615,0.9165744,0.9805232,0.1,0.980369151
Midgut development (GO:0007494),GO:0007494,Midgut development,-0.6434831,0.9167209,0.9805232,0.25,0.980369151
Renal system process involved in regulation of systemic arterial blood pressure (GO:0003071),GO:0003071,Renal system process involved in regulation of systemic arterial blood pressure,0.6833235,0.9168142,0.9805232,0.304347826,0.980369151
Forebrain neuron fate commitment (GO:0021877),GO:0021877,Forebrain neuron fate commitment,0.6319268,0.9169435,0.9805232,0.2,0.980369151
Aminoglycoside antibiotic metabolic process (GO:0030647),GO:0030647,Aminoglycoside antibiotic metabolic process,-0.6451309,0.917103,0.9805232,0.6,0.980369151
Microtubule severing (GO:0051013),GO:0051013,Microtubule severing,0.6327243,0.9171261,0.9805232,0.363636364,0.980369151
Lung cell differentiation (GO:0060479),GO:0060479,Lung cell differentiation,0.6824151,0.9171681,0.9805232,0.347826087,0.980369151
Multivesicular body assembly (GO:0036258),GO:0036258,Multivesicular body assembly,0.6957084,0.9175439,0.9805232,0.133333333,0.980369151
Pinocytosis (GO:0006907),GO:0006907,Pinocytosis,-0.6866321,0.9175611,0.9805232,0.318181818,0.980369151
Phosphorylation of rna polymerase ii c-terminal domain (GO:0070816),GO:0070816,Phosphorylation of rna polymerase ii c-terminal domain,0.6419581,0.9176405,0.9805232,0.583333333,0.980369151
Forebrain development (GO:0030900),GO:0030900,Forebrain development,0.8447053,0.9176883,0.9805232,0.146596859,0.980369151
Regulation of protein deubiquitination (GO:0090085),GO:0090085,Regulation of protein deubiquitination,-0.6404984,0.9178052,0.9805232,0.25,0.980369151
Regulation of leukocyte degranulation (GO:0043300),GO:0043300,Regulation of leukocyte degranulation,0.7198123,0.9180605,0.9805232,0.234042553,0.980369151
Somatic diversification of immunoglobulins (GO:0016445),GO:0016445,Somatic diversification of immunoglobulins,-0.7672527,0.9181818,0.9805232,0.222222222,0.980369151
Exit from mitosis (GO:0010458),GO:0010458,Exit from mitosis,0.6794657,0.9184034,0.9805232,0.296296296,0.980369151
Axonogenesis (GO:0007409),GO:0007409,Axonogenesis,0.8572863,0.9185117,0.9805232,0.178571429,0.980369151
Protein folding (GO:0006457),GO:0006457,Protein folding,0.8150128,0.9185422,0.9805232,0.159624413,0.980369151
Kidney development (GO:0001822),GO:0001822,Kidney development,0.8278244,0.9185488,0.9805232,0.18115942,0.980369151
Protein k11-linked ubiquitination (GO:0070979),GO:0070979,Protein k11-linked ubiquitination,0.6847066,0.918576,0.9805232,0.448275862,0.980369151
"Regulation of dna damage response, signal transduction by p53 class mediator (GO:0043516)",GO:0043516,"Regulation of dna damage response, signal transduction by p53 class mediator",-0.7205212,0.9191871,0.981011,0.205882353,0.980856815
Erad pathway (GO:0036503),GO:0036503,Erad pathway,0.7699787,0.9195293,0.9812116,0.27,0.981057422
Perk-mediated unfolded protein response (GO:0036499),GO:0036499,Perk-mediated unfolded protein response,0.6747806,0.9198575,0.9812328,0.095238095,0.981078527
Integrated stress response signaling (GO:0140467),GO:0140467,Integrated stress response signaling,0.6747806,0.9198575,0.9812328,0.095238095,0.981078527
Genetic imprinting (GO:0071514),GO:0071514,Genetic imprinting,0.6810651,0.9202529,0.9814474,0.333333333,0.981293149
Negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435),GO:0032435,Negative regulation of proteasomal ubiquitin-dependent protein catabolic process,-0.7195674,0.9203686,0.9814474,0.352941176,0.981293149
Midbrain dopaminergic neuron differentiation (GO:1904948),GO:1904948,Midbrain dopaminergic neuron differentiation,-0.6696334,0.9205238,0.9814474,0.176470588,0.981293149
Neurotransmitter-gated ion channel clustering (GO:0072578),GO:0072578,Neurotransmitter-gated ion channel clustering,0.6391432,0.9206757,0.9814474,0.153846154,0.981293149
Positive regulation of glycoprotein metabolic process (GO:1903020),GO:1903020,Positive regulation of glycoprotein metabolic process,-0.6908772,0.9213275,0.9815449,0.25,0.981390667
Methylation (GO:0032259),GO:0032259,Methylation,-0.8757393,0.9214738,0.9815449,0.289772727,0.981390667
Cell differentiation in spinal cord (GO:0021515),GO:0021515,Cell differentiation in spinal cord,0.7317924,0.9215034,0.9815449,0.178571429,0.981390667
Regulation of translational elongation (GO:0006448),GO:0006448,Regulation of translational elongation,0.6622395,0.9217717,0.9815449,0.15,0.981390667
Positive regulation of translation (GO:0045727),GO:0045727,Positive regulation of translation,0.7861457,0.9218082,0.9815449,0.174242424,0.981390667
Golgi to plasma membrane transport (GO:0006893),GO:0006893,Golgi to plasma membrane transport,-0.7565933,0.9218553,0.9815449,0.13559322,0.981390667
Intraciliary retrograde transport (GO:0035721),GO:0035721,Intraciliary retrograde transport,0.6272923,0.9220875,0.9815449,0.090909091,0.981390667
Adhesion of symbiont to host (GO:0044406),GO:0044406,Adhesion of symbiont to host,0.6427892,0.9221797,0.9815449,0.066666667,0.981390667
Cardiac muscle cell action potential involved in contraction (GO:0086002),GO:0086002,Cardiac muscle cell action potential involved in contraction,0.7223409,0.9223121,0.9815449,0.215686275,0.981390667
